year,month,gender,births
1994,4,F,154935
1994,4,M,162778
1994,5,F,160679
1994,5,M,169921
1994,6,F,160576
1994,6,M,169510
1994,7,F,168646
1994,7,M,177579
1994,8,F,172383
1994,8,M,180197
1994,9,F,166020
1994,9,M,173600
1994,10,F,162185
1994,10,M,168356
1994,11,F,156514
1994,11,M,163252
1994,12,F,160031
1994,12,M,167060
1995,1,F,154538
1995,1,M,161749
1995,2,F,144485
1995,2,M,150879
1995,3,F,160096
1995,3,M,168678
1995,4,F,150914
1995,4,M,158447
1995,5,F,162601
1995,5,M,172235
1995,6,F,160527
1995,6,M,169557
1995,7,F,166814
1995,7,M,174366
1995,8,F,171158
1995,8,M,179864
1995,9,F,165661
1995,9,M,173746
1995,10,F,162008
1995,10,M,168303
1995,11,F,151949
1995,11,M,159181
1995,12,F,154120
1995,12,M,161136
1996,1,F,153564
1996,1,M,161007
1996,2,F,147336
1996,2,M,154683
1996,3,F,157536
1996,3,M,165311
1996,4,F,152624
1996,4,M,160256
1996,5,F,158983
1996,5,M,167020
1996,6,F,155502
1996,6,M,163267
1996,7,F,168423
1996,7,M,177043
1996,8,F,169237
1996,8,M,177393
1996,9,F,165338
1996,9,M,171299
1996,10,F,164939
1996,10,M,171717
1996,11,F,151621
1996,11,M,158058
1996,12,F,157561
1996,12,M,165156
1997,1,F,155408
1997,1,M,162091
1997,2,F,142259
1997,2,M,149536
1997,3,F,157335
1997,3,M,164148
1997,4,F,153524
1997,4,M,160935
1997,5,F,161304
1997,5,M,169296
1997,6,F,156734
1997,6,M,165435
1997,7,F,169391
1997,7,M,177423
1997,8,F,165928
1997,8,M,173528
1997,9,F,162975
1997,9,M,170937
1997,10,F,160645
1997,10,M,168306
1997,11,F,150194
1997,11,M,157395
1997,12,F,161231
1997,12,M,168371
1998,1,F,155671
1998,1,M,163902
1998,2,F,146310
1998,2,M,152641
1998,3,F,161291
1998,3,M,168419
1998,4,F,156178
1998,4,M,163853
1998,5,F,161543
1998,5,M,169221
1998,6,F,159207
1998,6,M,168175
1998,7,F,170376
1998,7,M,178616
1998,8,F,168353
1998,8,M,176747
1998,9,F,168502
1998,9,M,175254
1998,10,F,162998
1998,10,M,170140
1998,11,F,153386
1998,11,M,160161
1998,12,F,163291
1998,12,M,170957
1999,1,F,156054
1999,1,M,163440
1999,2,F,145172
1999,2,M,152660
1999,3,F,162648
1999,3,M,170574
1999,4,F,154150
1999,4,M,163007
1999,5,F,160124
1999,5,M,168682
1999,6,F,162255
1999,6,M,170261
1999,7,F,170905
1999,7,M,179321
1999,8,F,171718
1999,8,M,180033
1999,9,F,170699
1999,9,M,179124
1999,10,F,163347
1999,10,M,170004
1999,11,F,154605
1999,11,M,161062
1999,12,F,162833
1999,12,M,170787
2000,1,F,161288
2000,1,M,169225
2000,2,F,154694
2000,2,M,162997
2000,3,F,166124
2000,3,M,174808
2000,4,F,155038
2000,4,M,162495
2000,5,F,166443
2000,5,M,175161
2000,6,F,166358
2000,6,M,175247
2000,7,F,170327
2000,7,M,179102
2000,8,F,176508
2000,8,M,184030
2000,9,F,170411
2000,9,M,177693
2000,10,F,168039
2000,10,M,176350
2000,11,F,164086
2000,11,M,170206
2000,12,F,164939
2000,12,M,172254
2001,1,F,164404
2001,1,M,171208
2001,2,F,148640
2001,2,M,155259
2001,3,F,165359
2001,3,M,173729
2001,4,F,158235
2001,4,M,165804
2001,5,F,167878
2001,5,M,176615
2001,6,F,161947
2001,6,M,169590
2001,7,F,172082
2001,7,M,179504
2001,8,F,177031
2001,8,M,185351
2001,9,F,167748
2001,9,M,175338
2001,10,F,168515
2001,10,M,176084
2001,11,F,158581
2001,11,M,165633
2001,12,F,160350
2001,12,M,166646
2002,1,F,161477
2002,1,M,169612
2002,2,F,148745
2002,2,M,155627
2002,3,F,162351
2002,3,M,169543
2002,4,F,158674
2002,4,M,166175
2002,5,F,165530
2002,5,M,173925
2002,6,F,159792
2002,6,M,168261
2002,7,F,175085
2002,7,M,183135
2002,8,F,175501
2002,8,M,184444
2002,9,F,170451
2002,9,M,178945
2002,10,F,169482
2002,10,M,176842
2002,11,F,155849
2002,11,M,163200
2002,12,F,163582
2002,12,M,171148
2003,1,F,161200
2003,1,M,169104
2003,2,F,150278
2003,2,M,157384
2003,3,F,164318
2003,3,M,173100
2003,4,F,161431
2003,4,M,169158
2003,5,F,169450
2003,5,M,177775
2003,6,F,164323
2003,6,M,173621
2003,7,F,177755
2003,7,M,187045
2003,8,F,175697
2003,8,M,184986
2003,9,F,176270
2003,9,M,183928
2003,10,F,173659
2003,10,M,180924
2003,11,F,156860
2003,11,M,163757
2003,12,F,168146
2003,12,M,175923
2004,1,F,162630
2004,1,M,170778
2004,2,F,154712
2004,2,M,161598
2004,3,F,168958
2004,3,M,177896
2004,4,F,162918
2004,4,M,170940
2004,5,F,164266
2004,5,M,173902
2004,6,F,169006
2004,6,M,176392
2004,7,F,175457
2004,7,M,184593
2004,8,F,173980
2004,8,M,182095
2004,9,F,173996
2004,9,M,182707
2004,10,F,170816
2004,10,M,178294
2004,11,F,164364
2004,11,M,171945
2004,12,F,169607
2004,12,M,177057
2005,1,F,162360
2005,1,M,169670
2005,2,F,151342
2005,2,M,158754
2005,3,F,170000
2005,3,M,179881
2005,4,F,161982
2005,4,M,171045
2005,5,F,168949
2005,5,M,177881
2005,6,F,171467
2005,6,M,179979
2005,7,F,174639
2005,7,M,183061
2005,8,F,180446
2005,8,M,189599
2005,9,F,177973
2005,9,M,186141
2005,10,F,168795
2005,10,M,176498
2005,11,F,164606
2005,11,M,171703
2005,12,F,170333
2005,12,M,178515
2006,1,F,166706
2006,1,M,174193
2006,2,F,156281
2006,2,M,163564
2006,3,F,173924
2006,3,M,183436
2006,4,F,161054
2006,4,M,169341
2006,5,F,173374
2006,5,M,182689
2006,6,F,175037
2006,6,M,183860
2006,7,F,179507
2006,7,M,189126
2006,8,F,189539
2006,8,M,198942
2006,9,F,183523
2006,9,M,191866
2006,10,F,179938
2006,10,M,188122
2006,11,F,171819
2006,11,M,180670
2006,12,F,174255
2006,12,M,182459
2007,1,F,173771
2007,1,M,181789
2007,2,F,159887
2007,2,M,167507
2007,3,F,176426
2007,3,M,184984
2007,4,F,165121
2007,4,M,173674
2007,5,F,176902
2007,5,M,186016
2007,6,F,174757
2007,6,M,184468
2007,7,F,185221
2007,7,M,195135
2007,8,F,191495
2007,8,M,199622
2007,9,F,180098
2007,9,M,187526
2007,10,F,180912
2007,10,M,189157
2007,11,F,173513
2007,11,M,180814
2007,12,F,173787
2007,12,M,181426
2008,1,F,174255
2008,1,M,182789
2008,2,F,165669
2008,2,M,173434
2008,3,F,172053
2008,3,M,179129
2008,4,F,169585
2008,4,M,177399
2008,5,F,173141
2008,5,M,182294
2008,6,F,169958
2008,6,M,179267
2008,7,F,183391
2008,7,M,192714
2008,8,F,182713
2008,8,M,191315
2008,9,F,179696
2008,9,M,188964
2008,10,F,175314
2008,10,M,183219
2008,11,F,158939
2008,11,M,165468
2008,12,F,173215
2008,12,M,181235
